Title,Link,Remote Testing,Adaptive/IRT,Duration (In Minutes),Test Keys,ID,Test Type,text_for_embedding
Global Skills Development Report,https://www.shl.com/solutions/products/product-catalog/view/global-skills-development-report/,Yes,No,,"A, E, B, C, D, P",1,"Abilities, E, Behavior, Cognitive, D, Personality","Global Skills Development Report - Abilities, E, Behavior, Cognitive, D, Personality. Remote: Yes, Adaptive: No, Duration: nan mins."
.NET Framework 4.5,https://www.shl.com/solutions/products/product-catalog/view/net-framework-4-5/,Yes,Yes,30.0,K,2,Knowledge,".NET Framework 4.5 - Knowledge. Remote: Yes, Adaptive: Yes, Duration: 30.0 mins."
.NET MVC (New),https://www.shl.com/solutions/products/product-catalog/view/net-mvc-new/,Yes,No,17.0,K,3,Knowledge,".NET MVC (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 17.0 mins."
.NET MVVM (New),https://www.shl.com/solutions/products/product-catalog/view/net-mvvm-new/,Yes,No,5.0,K,4,Knowledge,".NET MVVM (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 5.0 mins."
.NET WCF (New),https://www.shl.com/solutions/products/product-catalog/view/net-wcf-new/,Yes,No,11.0,K,5,Knowledge,".NET WCF (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 11.0 mins."
.NET WPF (New),https://www.shl.com/solutions/products/product-catalog/view/net-wpf-new/,Yes,No,9.0,K,6,Knowledge,".NET WPF (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 9.0 mins."
.NET XAML (New),https://www.shl.com/solutions/products/product-catalog/view/net-xaml-new/,Yes,No,5.0,K,7,Knowledge,".NET XAML (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 5.0 mins."
Accounts Payable (New),https://www.shl.com/solutions/products/product-catalog/view/accounts-payable-new/,Yes,No,9.0,K,8,Knowledge,"Accounts Payable (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 9.0 mins."
Accounts Payable Simulation (New),https://www.shl.com/solutions/products/product-catalog/view/accounts-payable-simulation-new/,Yes,No,8.0,S,9,Situational,"Accounts Payable Simulation (New) - Situational. Remote: Yes, Adaptive: No, Duration: 8.0 mins."
Accounts Receivable (New),https://www.shl.com/solutions/products/product-catalog/view/accounts-receivable-new/,Yes,No,13.0,K,10,Knowledge,"Accounts Receivable (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 13.0 mins."
Accounts Receivable Simulation (New),https://www.shl.com/solutions/products/product-catalog/view/accounts-receivable-simulation-new/,Yes,No,8.0,S,11,Situational,"Accounts Receivable Simulation (New) - Situational. Remote: Yes, Adaptive: No, Duration: 8.0 mins."
ADO.NET (New),https://www.shl.com/solutions/products/product-catalog/view/ado-net-new/,Yes,No,10.0,K,12,Knowledge,"ADO.NET (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 10.0 mins."
Adobe Experience Manager (New),https://www.shl.com/solutions/products/product-catalog/view/adobe-experience-manager-new/,Yes,No,17.0,K,13,Knowledge,"Adobe Experience Manager (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 17.0 mins."
